"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr16853","Port Adelaide Enfield Flora & Fauna Monitoring","","Dry Creek 250m bird transect x 5 quadrat survey: City of Port Adelaide Enfield (2021) Dry Creek 250m bird transect x 5 quadrat survey dataset
Coastal Sand Dunes 500m bird transect x 20 quadrat survey: City of Port Adelaide Enfield (2021) Coastal Sand Dunes 500m bird transect x 20 quadrat survey dataset
River Torrens Linear Park 200m bird transect x 4 quadrat survey: City of Port Adelaide Enfield (2021) River Torrens Linear Park 200m bird transect x 4 quadrat survey dataset
Folland Park 100m bird transect x 4 quadrat survey: City of Port Adelaide Enfield (2021) Folland Park 100m bird transect x 4 quadrat survey dataset
Vegetation Photo-point Monitoring_Semaphore South: City of Port Adelaide Enfield (2021) Vegetation Photo-point Monitoring_Semaphore South dataset
Vegetation Photo-point Monitoring_Dry Creek: City of Port Adelaide Enfield (2021) Vegetation Photo-point Monitoring_Dry Creek dataset
Biodiversity Park - Photo-point: City of Port Adelaide Enfield (2021) Biodiversity Park - Photo-point dataset
Mutton Cove Photo-point: City of Port Adelaide Enfield (2021) Mutton Cove Photo-point dataset
Mutton Cove 200m bird transect : City of Port Adelaide Enfield (2021) Mutton Cove 200m bird transect dataset
Biodiversity Park 400m Bird Transect: City of Port Adelaide Enfield (2021) Biodiversity Park 400m Bird Transect dataset
Magazine Creek Wetlands 200m x 200m Bird Transect: City of Port Adelaide Enfield (2021) Magazine Creek Wetlands 200m x 200m Bird Transect dataset
Bitter Bush Blue Project: City of Port Adelaide Enfield (2021) Bitter Bush Blue Project dataset
Barker Inlet South Wetlands 200 x 200m Bird Transect: City of Port Adelaide Enfield (2021) Barker Inlet South Wetlands 200 x 200m Bird Transect dataset
Barker Inlet North Wetland 200m x 200m Bird Transect: City of Port Adelaide Enfield (2021) Barker Inlet North Wetland 200m x 200m Bird Transect dataset
","other","For more information: https://collections.ala.org.au/public/show/dr16853","","","","5"
"co274","Museums Victoria DNA Laboratory","","Records provided by Museums Victoria DNA Laboratory, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co274","","","","16"
"dr15920","National Waterbirds Survey, Northern Territory, Australia (2008)","","null","CC-BY-NC 
This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.
","For more information: https://collections.ala.org.au/public/show/dr15920","","","","11"
"dp52","Questagame","","Records provided by Questagame, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp52","","","","47"
"co151","Queensland Museum Birds","","Records provided by Queensland Museum Birds, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co151","","","","6"
"dr1097","Victorian Biodiversity Atlas","10.15468/khlfs3","Records provided by Victorian Biodiversity Atlas, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Copyright in the data and materials resides with the copyright owners as indicated next to the detailed records. In any reproduction, distribution or publication of the data, or in any use or adaptation of the data to create derivative works, the user must include a citation which attributes the source of the data and the date the data was published, as follows: Data Source: 'Victorian Biodiversity Atlas', © The State of Victoria, Department of Environment and Primary Industries (published [month, year]). Data Source: 'Victorian Biodiversity Atlas', (c) The State of Victoria, Department of Environment, Land, Water & Planning (published [month, year]). 
        Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int) 4.0)","For more information: https://collections.ala.org.au/public/show/dr1097","","","","891"
"dr17507","Survey of the Breeding Seabirds and Migrating Shorebirds of the Houtman Abrolhos, Western Australia (1991-1993, 1999 and 2006)","","Surman C and Burbridge A. (2021): Survey of the Breeding Seabirds and Migrating Shorebirds of the Houtman Abrolhos, Western Australia (1991-1993, 1999 and 2006). v1. CSIRO National Collections and Marine Infrastructure (NCMI) Information and Data Centre (IDC). Dataset/Occurrence. https://www.marine.csiro.au/ipt/resource?r=houtman_abrolhos_bird_survey&amp;v=1.0","CC-BY-NC 
This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.
","For more information: https://collections.ala.org.au/public/show/dr17507","","","","2"
"dp3301","NatureMapr","","Records provided by NatureMapr, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3301","","","","44"
"dr1132","WildNet - Queensland Wildlife Data","10.15468/lxgoyb","Queensland Government","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr1132","","","","485"
"dr344","Queensland Museum provider for OZCAM","10.15468/lotsye","Queensland Museum, http://www.qm.qld.gov.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr344","","","","6"
"dr343","Northern Territory Museum and Art Gallery provider for OZCAM","10.15468/giro3a","Northern Territory Museum and Art Gallery, https://www.magnt.net.au/","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr343","","","","8"
"dr346","South Australian Museum Adelaide provider for OZCAM","10.15468/wz4rrh","South Australian Museum, http://www.samuseum.sa.gov.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr346","","","","18"
"dr1411","iNaturalist Australia","","iNaturalist.org: iNaturalist Research-grade Observations. doi:10.15468/ab3s5x
Accessed via http://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7 on 2017-03-16","CC-BY-NC-Int","For more information: https://collections.ala.org.au/public/show/dr1411","","","","206"
"dp3903","BioCollect","","Records provided by BioCollect, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3903","","","","41"
"dr5018","WCPS Bird Survey Project","10.15468/efbic6","WCPS Bird Survey Project (https://biocollect.ala.org.au/acsa/project/index/abdd9f05-a757-420b-85a6-3e8ae31c2d4f)","Creative Commons Attribution-Noncommercial (Australia) (CC-BY-NC 3.0 (Aus))","For more information: https://collections.ala.org.au/public/show/dr5018","","","","2"
"dr340","Australian Museum provider for OZCAM","10.15468/e7susi","Australian Museum, http://australianmuseum.net.au/","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr340","","","","5"
"in22","South Australian Museum","","Records provided by South Australian Museum, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in22","","","","18"
"dp3227","FieldData / Biological Data Recording System","","Records provided by FieldData / Biological Data Recording System, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3227","","","","2"
"dr342","Museums Victoria provider for OZCAM","10.15468/lp1ctu","Museums Victoria, http://museumvictoria.com.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr342","","","","29"
"dr341","Australian National Wildlife Collection provider for OZCAM","10.15468/gscnac","Australian National Wildlife Collection, CSIRO, http://www.csiro.au/","CC-BY Data is available under the Creative Commons Attribution 3.0 Australia license.  Sound files associated with specimen records are not available for download and re-use. Please contact the Australian National Wildlife Collection for more information.","For more information: https://collections.ala.org.au/public/show/dr341","","","","55"
"dr348","Western Australian Museum provider for OZCAM","10.15468/5qt0dm","Records provided by Western Australian Museum provider for OZCAM, accessed through ALA website.","Western Australian Museum, http://www.museum.wa.gov.au/","For more information: https://collections.ala.org.au/public/show/dr348","","","","27"
"co11","Australian Museum Ornithology Collection","","Records provided by Australian Museum Ornithology Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co11","","","","5"
"dr380","QLD DERM Coastal Bird Atlas (Trial)","10.15468/ailaua","Queensland Department of Environment and Resource Management (DERM)","CC-BY-NC","For more information: https://collections.ala.org.au/public/show/dr380","","","","82"
"in4","Australian Museum","","Records provided by Australian Museum, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in4","","","","5"
"in6","Commonwealth Scientific and Industrial Research Organisation","","Records provided by Commonwealth Scientific and Industrial Research Organisation, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in6","","","","55"
"dr893","BowerBird","","Records provided by BowerBird, accessed through ALA website.","Creative Commons - license at record level (Creative Commons - license at record level) The rights of material uploaded by users to the BowerBird website are owned by those users. Each user will nominate the type of license that can apply to their content - BowerBird encourages the Creative Commons License but users have the right to deny use of their content. Please respect the license wishes of the user's content.

For all other material, including the content, design and source code of BowerBird other than user-contributed material, is under the Open Source and Creative Commons licenses. You may use this material.","For more information: https://collections.ala.org.au/public/show/dr893","","","","3"
"dr571","First Bird Atlas","10.15468/f6tipo","Birds Australia - First Bird Atlas (http://www.birdsaustralia.com.au/)","CC-BY-NC","For more information: https://collections.ala.org.au/public/show/dr571","","","","1877"
"dr570","Historical Bird Atlas","10.15468/pljute","Birds Australia - Historical Bird Atlas (http://www.birdsaustralia.com.au/)","CC-BY-NC","For more information: https://collections.ala.org.au/public/show/dr570","","","","830"
"in15","Queensland Museum","","Records provided by Queensland Museum, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in15","","","","6"
"co270","FieldData / Biological Data Recording System","","Records provided by FieldData / Biological Data Recording System, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co270","","","","4"
"dr1902","Earth Guardians Weekly Feed","10.15468/slqqt8","Records provided by Earth Guardians Weekly Feed, accessed through ALA website.","Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr1902","","","","47"
"in17","Museum and Art Gallery of the Northern Territory","","Records provided by Museum and Art Gallery of the Northern Territory, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in17","","","","8"
"dr1947","Canberra Nature Map","10.15468/uv6p4z","Canberra Nature Map https://canberra.naturemapr.org/ Content from this website should be attributed as:

Canberra Nature Map (<current year>, accessed <date of access>)","","For more information: https://collections.ala.org.au/public/show/dr1947","","The data supplied by Canberra Nature Map to the ALA is a subset of data containing non-sensitive sightings suitable for public access via the ALA. If the ALA provides a sensitive data service that provides suitable restrictions, CNM may choose to provide further data that will be processed by this service before being made available for public access.","","10"
"in16","Museums Victoria","","Records provided by Museums Victoria, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in16","","","","29"
"dr15023","Eyre Peninsula's Bird Monitoring Program","10.15468/bwdkez","Eyre Peninsula's Bird Monitoring Program: EYRE PENINSULA LANDSCAPE BOARD (2022) Eyre Peninsula's Bird Monitoring Program dataset
","Creative Commons Attribution-Noncommercial (Australia) (CC-BY-NC 3.0 (Aus))","For more information: https://collections.ala.org.au/public/show/dr15023","","","","34"
"in191","FieldData / Biological Data Recording System","","Records provided by FieldData / Biological Data Recording System, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in191","","","","4"
"co16","Australian National Wildlife Collection","","Records provided by Australian National Wildlife Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co16","","","","55"
"dp34","Department of Planning, Industry and Environment representing the State of New South Wales","","Records provided by Department of Planning, Industry and Environment representing the State of New South Wales, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp34","","","","329"
"dp5183","Ocean Biodiversity Information System","","Records provided by Ocean Biodiversity Information System, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp5183","","","","723"
"dp32","South Australia, Department for Environment and Water","","Records provided by South Australia, Department for Environment and Water, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp32","","","","415"
"dp31","Citizen Science - ALA Website","","Records provided by Citizen Science - ALA Website, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp31","","","","16"
